Periodo;Grupo;Producto;Super;Precio;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;nombre_comercial;canasta_producto;canasta_cantidad
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Marca Propia Envase 900 cc;Devoto;80.0;Aceite;Marca Propia;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Marca Propia Envase 900 cc;Devoto Express;99.0;Aceite;Marca Propia;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Marca Propia Envase 900 cc;Disco;99.0;Aceite;Marca Propia;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Marca Propia Envase 900 cc;Ta - Ta;95.0;Aceite;Marca Propia;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Marca Propia Envase 900 cc;Tienda Inglesa;97.0;Aceite;Marca Propia;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Devoto;119.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Devoto Express;123.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Disco;119.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;El Dorado;119.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Frog;130.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Kinko;132.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Red Expres;115.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Red Market;115.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Ta - Ta;121.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Río de la Plata Envase 900 cc;Tienda Inglesa;126.0;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Uruguay Envase 900 cc;El Clon;85.0;Aceite;Uruguay;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Uruguay Envase 900 cc;El Dorado;89.9;Aceite;Uruguay;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Uruguay Envase 900 cc;Macro;91.49;Aceite;Uruguay;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Uruguay Envase 900 cc;Micro Macro;98.8;Aceite;Uruguay;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
2025-04-01;Alimentos Y Bebidas;Aceite de girasol Uruguay Envase 900 cc;Red Expres;85.0;Aceite;Uruguay;Envase 900 cc;Envase;900.0;CC;Aceite de girasol;1.0;2.0
