Producto;producto_base;tipo_producto;marca;presentacion;tipo_envoltorio;presentacion_valor;presentacion_unidad;especificacion;nombre_comercial;canasta_producto;canasta_cantidad
Aceite de girasol Marca Propia Envase 900 cc;Aceite de girasol Marca Propia;Aceite;Marca Propia;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de girasol Marcas Propias Envase 900 cc;Aceite de girasol Marcas Propias;Aceite;Marcas Propias;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de girasol Precio Líder Envase 900 cc;Aceite de girasol Precio Líder;Aceite;Precio Lider;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de girasol Río de la Plata Envase 900 cc;Aceite de girasol Río de la Plata;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de girasol Tata Envase 900 cc;Aceite de girasol Tata;Aceite;Tata;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de girasol Tienda Inglesa Envase 900 cc;Aceite de girasol Tienda Inglesa;Aceite;Tienda Inglesa;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de girasol Uruguay Envase 900 cc;Aceite de girasol Uruguay;Aceite;Uruguay;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de girasol Óptimo Envase 900 cc;Aceite de girasol Óptimo;Aceite;Óptimo;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
Aceite de maíz Delicia Envase 900 cc;Aceite de maíz Delicia;Aceite;Delicia;Envase 900 cc;Envase;900.0;CC;de maiz;Aceite de maiz;1;2
Aceite de maíz Río de la Plata Envase 900 cc;Aceite de maíz Río de la Plata;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;de maiz;Aceite de maiz;1;2
Aceite de soja Condesa Envase 900 cc;Aceite de soja Condesa;Aceite;Condesa;Envase 900 cc;Envase;900.0;CC;de soja;Aceite de soja;1;2
Aceite de soja Río de la Plata Envase 900 cc;Aceite de soja Río de la Plata;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;de soja;Aceite de soja;1;2
aceite girasol Devoto (envase 900 cc);aceite girasol Devoto;Aceite;Devoto;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
aceite girasol Rio de la plata (envase 900 cc);aceite girasol Rio de la plata;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
aceite girasol Tata (envase 900 cc);aceite girasol Tata;Aceite;Tata;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
aceite girasol Tienda inglesa (envase 900 cc);aceite girasol Tienda inglesa;Aceite;Tienda Inglesa;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
aceite girasol Uruguay (envase 900 cc);aceite girasol Uruguay;Aceite;Uruguay;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
aceite girasol Optimo (envase 900 cc);aceite girasol Optimo;Aceite;Óptimo;Envase 900 cc;Envase;900.0;CC;de girasol;Aceite de girasol;1;2
aceite maiz Delicia (envase 900 cc);aceite maiz Delicia;Aceite;Delicia;Envase 900 cc;Envase;900.0;CC;de maiz;Aceite de maiz;1;2
aceite maiz Rio de la plata (envase 900 cc);aceite maiz Rio de la plata;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;de maiz;Aceite de maiz;1;2
aceite soja Condesa (envase 900 cc);aceite soja Condesa;Aceite;Condesa;Envase 900 cc;Envase;900.0;CC;de soja;Aceite de soja;1;2
aceite soja Rio de la plata (envase 900 cc);aceite soja Rio de la plata;Aceite;Río de la Plata;Envase 900 cc;Envase;900.0;CC;de soja;Aceite de soja;1;2
Afeitadora Gillette Mach3 Dispenser X2, 2us.;Afeitadora Gillette Mach3;Afeitadora;Gillette;Empaque 2 Unidades;Empaque;2.0;UNIDADES;Mach 3 Dispenser X2;Afeitadora Mach 3 Dispenser X2;;
Afeitadora Xtreme3 Piel Delicada X1, 1 unidad;Afeitadora Xtreme3 Piel Delicada X1;Afeitadora;Xtreme3;Empaque 1 Unidad;Empaque;1.0;UNIDADES;Piel Delicada X 1;Afeitadora Piel Delicada X 1;;
