ID;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.;Periodo
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;459;86,45;87,9;99;102,195;131;137;7,379719968;7;101,219;0,0096;0,0722;Ene25
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;90;99;99;99;99;99;99;0;0;95,317;0,0386;0;Ene25
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;423;86;98;118;116,492;137;149,07;8,348230031;10;110,509;0,0541;0,0717;Ene25
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;91;91;95;97,615;109;109;7,841872088;18;98,29;-0,0069;0,0803;Ene25
365;Alimentos y bebidas;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;84;84;103;102,085;110;110;7,007012464;1;94,64;0,0787;0,0686;Ene25
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;318;70;76;88;88,807;120;126;9,665458423;16;90,939;-0,0234;0,1088;Ene25
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;407;79;98;129;125,45;155;157;10,68946749;10;124,781;0,0054;0,0852;Ene25
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;417;113,4;129;140;145,098;165;168;9,550568347;6;144,927;0,0012;0,0658;Ene25
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;393;58;63;71;72,087;98;98;6,644146973;7;70,045;0,0292;0,0922;Ene25
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;429;48;59,9;79;74,817;90;93;7,38536708;10;70,856;0,0559;0,0987;Ene25
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;93;58;58,32;75;74,525;99;99;4,323477078;0;74,59;-9,00E-04;0,058;Ene25
