Producto,producto_base,tipo_producto,marca,presentacion,presentacion_valor,presentacion_unidad,especificacion,es_producto_valido,requiere_revision
Aceite de girasol Marca Propia Envase 900 cc,Aceite de girasol Marca Propia,Aceite de girasol,Marca Propia,Envase 900 cc,900.0,CC,,True,False
Aceite de girasol Marcas Propias Envase 900 cc,Aceite de girasol Marcas Propias,Aceite de girasol,Marcas Propias,Envase 900 cc,900.0,CC,,True,False
Aceite de girasol Precio Líder Envase 900 cc,Aceite de girasol Precio Líder,Aceite de girasol,Precio Lider,Envase 900 cc,900.0,CC,,True,False
Aceite de girasol Río de la Plata Envase 900 cc,Aceite de girasol Río de la Plata,Aceite de girasol,Río de la Plata,Envase 900 cc,900.0,CC,,True,False
Aceite de girasol Tata Envase 900 cc,Aceite de girasol Tata,Aceite de girasol,Tata,Envase 900 cc,900.0,CC,,True,False
Aceite de girasol Tienda Inglesa Envase 900 cc,Aceite de girasol Tienda Inglesa,Aceite de girasol,Tienda Inglesa,Envase 900 cc,900.0,CC,,True,False
Aceite de girasol Uruguay Envase 900 cc,Aceite de girasol Uruguay,Aceite de girasol,Uruguay,Envase 900 cc,900.0,CC,,True,False
Aceite de girasol Óptimo Envase 900 cc,Aceite de girasol Óptimo,Aceite de girasol,Óptimo,Envase 900 cc,900.0,CC,,True,False
Aceite de maíz Delicia Envase 900 cc,Aceite de maíz Delicia,Aceite de maiz,Delicia,Envase 900 cc,900.0,CC,,True,False
Aceite de maíz Río de la Plata Envase 900 cc,Aceite de maíz Río de la Plata,Aceite de maiz,Río de la Plata,Envase 900 cc,900.0,CC,,True,False
Aceite de soja Condesa Envase 900 cc,Aceite de soja Condesa,Aceite de soja,Condesa,Envase 900 cc,900.0,CC,,True,False
Aceite de soja Río de la Plata Envase 900 cc,Aceite de soja Río de la Plata,Aceite de soja,Río de la Plata,Envase 900 cc,900.0,CC,,True,False
aceite girasol Devoto (envase 900 cc),aceite girasol Devoto,Aceite girasol,Devoto,envase 900 cc,900.0,CC,,True,False
aceite girasol Rio de la plata (envase 900 cc),aceite girasol Rio de la plata,Aceite girasol,Río de la Plata,envase 900 cc,900.0,CC,,True,False
aceite girasol Tata (envase 900 cc),aceite girasol Tata,Aceite girasol,Tata,envase 900 cc,900.0,CC,,True,False
aceite girasol Tienda inglesa (envase 900 cc),aceite girasol Tienda inglesa,Aceite girasol,Tienda Inglesa,envase 900 cc,900.0,CC,,True,False
aceite girasol Uruguay (envase 900 cc),aceite girasol Uruguay,Aceite girasol,Uruguay,envase 900 cc,900.0,CC,,True,False
aceite girasol Optimo (envase 900 cc),aceite girasol Optimo,Aceite girasol,Óptimo,envase 900 cc,900.0,CC,,True,False
aceite maiz Delicia (envase 900 cc),aceite maiz Delicia,Aceite maiz,Delicia,envase 900 cc,900.0,CC,,True,False
aceite maiz Rio de la plata (envase 900 cc),aceite maiz Rio de la plata,Aceite maiz,Río de la Plata,envase 900 cc,900.0,CC,,True,False
aceite soja Condesa (envase 900 cc),aceite soja Condesa,Aceite soja,Condesa,envase 900 cc,900.0,CC,,True,False
aceite soja Rio de la plata (envase 900 cc),aceite soja Rio de la plata,Aceite soja,Río de la Plata,envase 900 cc,900.0,CC,,True,False
"Afeitadora Gillette Mach3 Dispenser X2, 2us.",Afeitadora Gillette Mach3,Afeitadora,Gillette,"Dispenser X2, 2us.",2.0,UNIDADES,Mach 3,True,False
"Afeitadora Xtreme3 Piel Delicada X1, 1 unidad",Afeitadora Xtreme3 Piel Delicada X1,Afeitadora,Xtreme3,1 unidad,1.0,UNIDADES,Piel Delicada X 1,True,False
afeitadora descartable Gillette (2 unidades),afeitadora descartable Gillette,Afeitadora descartable,Gillette,2 unidades,2.0,UNIDADES,,True,False
afeitadora descartable Schick (1 unidad),afeitadora descartable Schick,Afeitadora descartable,Schick,1 unidad,1.0,UNIDADES,,True,False
Agua de mesa con gas Matutina Envase 2 lt.,Agua de mesa con gas Matutina,Agua de mesa con gas,Matutina,Envase 2 lt.,2.0,LT,,True,False
Agua de mesa con gas Nativa Envase 2 lt.,Agua de mesa con gas Nativa,Agua de mesa con gas,Nativa,Envase 2 lt.,2.0,LT,,True,False
"Agua de mesa con gas Salus Envase 2,25 lt.",Agua de mesa con gas Salus,Agua de mesa con gas,Salus,"Envase 2,25 lt.",2.25,LT,,True,False
"Agua de mesa sin gas Matutina 2,5 lts",Agua de mesa sin gas Matutina,Agua de mesa sin gas,Matutina,"2,5 lts",5.0,LT,,True,False
"Agua de mesa sin gas Salus 2,25 lts",Agua de mesa sin gas Salus,Agua de mesa sin gas,Salus,"2,25 lts",2.25,LT,,True,False
"Agua de mesa sin gas Vitale 2,5 lts",Agua de mesa sin gas Vitale,Agua de mesa sin gas,Vitale,"2,5 lts",5.0,LT,,True,False
"agua mineral con gas Matutina (envase 2,5 lt.)",agua mineral con gas Matutina,Agua mineral con gas,Matutina,"envase 2,5 lt.",2.25,LT,,True,False
"agua mineral con gas Nativa (envase 2,5 lt.)",agua mineral con gas Nativa,Agua mineral con gas,Nativa,"envase 2,5 lt.",2.25,LT,,True,False
"agua mineral con gas Salus (envase 2,25 lt.)",agua mineral con gas Salus,Agua mineral con gas,Salus,"envase 2,25 lt.",2.25,LT,,True,False
"agua mineral sin gas Matutina (envase 2,5lt.)",agua mineral sin gas Matutina,Agua mineral sin gas,Matutina,"envase 2,5lt.",5.0,LT,,True,False
agua mineral sin gas Nativa (envase 6lt.),agua mineral sin gas Nativa,Agua mineral sin gas,Nativa,envase 6lt.,6.0,LT,,True,False
"agua mineral sin gas Salus (envase 2,25lt.)",agua mineral sin gas Salus,Agua mineral sin gas,Salus,"envase 2,25lt.",25.0,LT,,True,False
"agua mineral sin gas Salus (envase 6,25lt.)",agua mineral sin gas Salus,Agua mineral sin gas,Salus,"envase 6,25lt.",6.25,LT,,True,False
"agua mineral sin gas Vitale (envase 2,5lt.)",agua mineral sin gas Vitale,Agua mineral sin gas,Vitale,"envase 2,5lt.",5.0,LT,,True,False
Agua mineral sin gas(bidón) Nativa 6lts,Agua mineral sin gas(bidón) Nativa,Agua mineral sin gas bidon,Nativa,6lts,6.0,LT,,True,False
"Agua mineral sin gas(bidón) Salus 6,25lts",Agua mineral sin gas(bidón) Salus,Agua mineral sin gas bidon,Salus,"6,25lts",6.25,LT,,True,False
aguja con hueso Sin marca (1 kg.),aguja con hueso Sin marca,Aguja con hueso,Sin marca,1 kg.,1.0,KG,,True,False
aguja sin hueso Sin marca (1 kg.),aguja sin hueso Sin marca,Aguja sin hueso,Sin marca,1 kg.,1.0,KG,,True,False
Aguja vacuna Con Hueso - Sin Marca 1 kg.,Aguja vacuna Con Hueso - Sin Marca,Aguja vacuna,Sin marca,1 kg.,1.0,KG,Con Hueso,True,False
Aguja vacuna Sin Hueso - Sin Marca 1 kg.,Aguja vacuna Sin Hueso - Sin Marca,Aguja vacuna,Sin marca,1 kg.,1.0,KG,Sin Hueso,True,False
Alcohol en gel Bioset 250 ml.,Alcohol en gel Bioset,Alcohol en gel,Bioset,250 ml.,250.0,ML,,True,False
alcohol en gel alcohol en gel Bioset (250 ml.),alcohol en gel alcohol en gel Bioset,Alcohol en gel,Bioset,250 ml.,250.0,ML,,True,False
Alcohol rectificado Droguería Paysandú 250 ml.,Alcohol rectificado Droguería Paysandú,Alcohol rectificado,Drogueria Paysandu,250 ml.,250.0,ML,,True,False
alcohol rectificado alcohol rectificado Drogueria paysandu (250 ml.),alcohol rectificado alcohol rectificado Drogueria paysandu,Alcohol rectificado,Drogueria Paysandu,250 ml.,250.0,ML,,True,False
Algodón Zig Zag Cisne 100 gr.,Algodón Zig Zag Cisne,Algodon,Zig Zag Cisne,100 gr.,100.0,GR,,True,False
algodon algodon Zig zag cisne (100 grs.),algodon algodon Zig zag cisne,Algodon,Zig Zag Cisne,100 grs.,100.0,GR,,True,False
Arroz blanco Aruba tipo Patna Bolsa 1 kg.,Arroz blanco Aruba tipo Patna,Arroz blanco,Aruba,Bolsa 1 kg.,1.0,KG,Tipo Patna,True,False
Arroz blanco Blue Patna Bolsa 1 kg.,Arroz blanco Blue Patna,Arroz blanco,Blue Patna,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Green Chef Bolsa 1 kg.,Arroz blanco Green Chef,Arroz blanco,Green Chef,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Pony Bolsa 1 kg.,Arroz blanco Pony,Arroz blanco,Pony,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Saman Blanco Bolsa 1 kg.,Arroz blanco Saman Blanco,Arroz blanco,Saman Blanco,Bolsa 1 kg.,1.0,KG,,True,False
Arroz blanco Vidarroz Bolsa 1 kg.,Arroz blanco Vidarroz,Arroz blanco,Vidarroz,Bolsa 1 kg.,1.0,KG,,True,False
arroz calidad alta Blue patna (bolsa 1 kg.),arroz calidad alta Blue patna,Arroz calidad alta,Blue Patna,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad alta Green chef (bolsa 1 kg.),arroz calidad alta Green chef,Arroz calidad alta,Green Chef,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad alta Saman blanco (bolsa 1 kg.),arroz calidad alta Saman blanco,Arroz calidad alta,Saman Blanco,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad media Aruba (bolsa 1 kg.),arroz calidad media Aruba,Arroz calidad media,Aruba,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad media Pony (bolsa 1 kg.),arroz calidad media Pony,Arroz calidad media,Pony,bolsa 1 kg.,1.0,KG,,True,False
arroz calidad media Vidarroz (bolsa 1 kg.),arroz calidad media Vidarroz,Arroz calidad media,Vidarroz,bolsa 1 kg.,1.0,KG,,True,False
Arvejas en conserva Cololó Lata 380 grs.,Arvejas en conserva Cololó,Arvejas en conserva,Cololó,Lata 380 grs.,380.0,GR,,True,False
arvejas en conserva Cololo (lata 380 grs.),arvejas en conserva Cololo,Arvejas en conserva,Cololó,lata 380 grs.,380.0,GR,,True,False
Arvejas en conserva Nidemar Lata 300 grs.,Arvejas en conserva Nidemar,Arvejas en conserva,Nidemar,Lata 300 grs.,300.0,GR,,True,False
arvejas en conserva Nidemar (lata 300 grs.),arvejas en conserva Nidemar,Arvejas en conserva,Nidemar,lata 300 grs.,300.0,GR,,True,False
azucar blanca Azucarlito (paquete 1 kg.),azucar blanca Azucarlito,Azucar blanca,Azucarlito,paquete 1 kg.,1.0,KG,,True,False
azucar blanca Bella union (paquete 1 kg.),azucar blanca Bella union,Azucar blanca,Bella Unión,paquete 1 kg.,1.0,KG,,True,False
Azúcar blanco Azucarlito Paquete 1 kg.,Azúcar blanco Azucarlito,Azucar blanco,Azucarlito,Paquete 1 kg.,1.0,KG,,True,False
Azúcar blanco Bella Unión Paquete 1 kg.,Azúcar blanco Bella Unión,Azucar blanco,Bella Unión,Paquete 1 kg.,1.0,KG,,True,False
"Banana Brasil, 1 kg.",Banana Brasil,Banana,Sin marca,1 kg.,1.0,KG,Brasil,True,False
"Banana Ecuador, 1 kg.",Banana Ecuador,Banana,Sin marca,1 kg.,1.0,KG,Ecuador,True,False
banana brasil Sin marca (1 kg.),banana brasil Sin marca,Banana,Sin marca,1 kg.,1.0,KG,Brasil,True,False
banana ecuador Sin marca (1 kg.),banana ecuador Sin marca,Banana,Sin marca,1 kg.,1.0,KG,Ecuador,True,False
Café envasado (no instantáneo) Chaná Paquete 250 grs.,Café envasado (no instantáneo) Chaná,Cafe envasado no instantaneo,Chaná,Paquete 250 grs.,250.0,GR,,True,False
Café envasado (no instantáneo) Saint Paquete 250 grs.,Café envasado (no instantáneo) Saint,Cafe envasado no instantaneo,Saint,Paquete 250 grs.,250.0,GR,,True,False
Café envasado (no instantáneo) Águila Paquete 250 grs.,Café envasado (no instantáneo) Águila,Cafe envasado no instantaneo,Águila,Paquete 250 grs.,250.0,GR,,True,False
cafe instantaneo El chana (paquete 250 grs.),cafe instantaneo El chana,Cafe instantaneo,Chaná,paquete 250 grs.,250.0,GR,El,True,False
cafe instantaneo Saint (paquete 250 grs.),cafe instantaneo Saint,Cafe instantaneo,Saint,paquete 250 grs.,250.0,GR,,True,False
cafe instantaneo Aguila (paquete 250 grs.),cafe instantaneo Aguila,Cafe instantaneo,Águila,paquete 250 grs.,250.0,GR,,True,False
carne picada hasta 20% de grasa Sin marca (1 kg.),carne picada hasta 20% de grasa Sin marca,Carne picada,Sin marca,1 kg.,1.0,KG,Hasta 20% De Grasa,True,False
carne picada hasta 5% de grasa Sin marca (1 kg.),carne picada hasta 5% de grasa Sin marca,Carne picada,Sin marca,1 kg.,1.0,KG,Hasta 5% De Grasa,True,False
Carne picada vacuna Con Hasta 20% de grasa 1 kg.,Carne picada vacuna Con Hasta 20% de grasa,Carne picada vacuna,Sin marca,1 kg.,1.0,KG,Con Hasta 20% De Grasa,True,False
Carne picada vacuna Con Hasta 5% de grasa 1 kg.,Carne picada vacuna Con Hasta 5% de grasa,Carne picada vacuna,Sin marca,1 kg.,1.0,KG,Con Hasta 5% De Grasa,True,False
Cerveza Patricia Botella 960 ml.,Cerveza Patricia,Cerveza,Patricia,Botella 960 ml.,960.0,ML,,True,False
